Deutérium (H-2);0;0;0;0;0;0;0;0,Mil
Tritium (H-3);3.57e14;388786560;0.000;0.000;0.000;0.0;0.0;0.0,Mil
Carbone-14;1.65e11;180604800000;0.000;0.000;0.000;0.0;0.0;0.0,Ind
Fluor-18;3.52e18;6586;0.511;0.000;0.000;193.0;0.0;0.0,Med
Sodium-24;1.78e18;53928;1.369;2.754;0.000;100.0;99.9;0.0,Ind
Phosphore-32;1.07e16;1235808;0.000;0.000;0.000;0.0;0.0;0.0,Med
Potassium-40;2.54e5;39447360000000000;1.461;0.000;0.000;10.66;0.0;0.0,Ind
Scandium-47;1.28e16;291600;0.159;0.000;0.000;68.3;0.0;0.0,Med
Fer-59;4.58e14;3859920;1.099;1.292;0.192;56.5;43.2;3.1,Ind
Cobalt-60;4.18e13;166194720;1.173;1.332;0.000;99.9;100.0;0.0,Ind
Nickel-63;2.1e12;3155760000;0.000;0.000;0.000;0.0;0.0;0.0,Ind
Cuivre-64;3.55e17;45720;0.511;1.346;0.000;35.2;0.47;0.0,Med
Cuivre-67;7.15e16;222156;0.185;0.093;0.091;48.7;16.1;7.7,Med
Zinc-65;1.78e14;21131136;1.115;0.511;0.000;50.6;3.0;0.0,Ind
Gallium-67;2.21e16;281664;0.093;0.185;0.300;39.2;21.4;16.9,Med
Germanium-68;2.36e15;23414400;0.511;0.000;0.000;176.0;0.0;0.0,Med
Sélénium-75;3.25e14;10368000;0.265;0.136;0.401;59.0;59.1;11.4,Ind
Krypton-85;1.45e13;339483600;0.514;0.000;0.000;0.43;0.0;0.0,Ind
Rubidium-82;6.3e19;76.3;0.511;0.776;0.000;191.0;13.1;0.0,Med
Strontium-89;2.34e15;4358880;0.000;0.000;0.000;0.0;0.0;0.0,Med
Strontium-90;5.14e12;898711200;0.000;0.000;0.000;0.0;0.0;0.0,Ind
Yttrium-90;2.03e16;230544;0.000;0.000;0.000;0.0;0.0;0.0,Med
Zirconium-89;2.5e16;677448;0.909;0.511;0.000;99.9;45.8;0.0,Med
Molybdène-99;1.78e16;237600;0.740;0.181;0.778;12.1;6.0;4.2,Med
Technétium-99m;1.95e17;21636;0.140;0.000;0.000;89.0;0.0;0.0,Med
Palladium-103;1.14e16;1466822;0.021;0.000;0.000;64.5;0.0;0.0,Med
Cadmium-109;1.82e14;39916800;0.088;0.022;0.000;3.7;82.0;0.0,Ind
Indium-111;1.55e16;242118;0.171;0.245;0.000;90.7;94.1;0.0,Med
Étain-117m;1.54e15;1200960;0.159;0.156;0.000;86.5;12.2;0.0,Med
Iode-123;3.34e17;47628;0.159;0.000;0.000;83.3;0.0;0.0,Med
Iode-124;1.12e16;360288;0.511;0.603;0.723;45.8;63.0;10.3,Med
Iode-125;2.86e15;5140800;0.035;0.000;0.000;6.68;0.0;0.0,Med
Iode-131;4.6e15;692822;0.364;0.637;0.284;81.7;7.17;6.06,Med
Xénon-133;6.9e15;455472;0.081;0.000;0.000;37.1;0.0;0.0,Med
Césium-137;3.21e12;949032000;0.662;0.000;0.000;85.1;0.0;0.0,Ind
Baryum-133;2.77e12;332467200;0.356;0.081;0.303;62.0;34.1;18.3,Ind
Prométhium-147;3.46e13;82144800;0.121;0.000;0.000;0.005;0.0;0.0,Ind
Samarium-153;9.41e15;168480;0.103;0.070;0.000;29.8;4.8;0.0,Med
Europium-152;1.6e12;426201600;1.408;0.122;0.344;20.8;37.2;26.5,Ind
Gadolinium-153;3.72e14;20822400;0.097;0.103;0.070;29.2;21.3;4.7,Ind
Terbium-161;1.44e15;596160;0.075;0.049;0.026;10.2;1.7;2.2,Med
Holmium-166m;1.83e8;37868400000000;0.184;0.411;0.711;57.0;49.0;54.0,Ind
Thulium-170;9.81e14;11037600;0.084;0.000;0.000;3.26;0.0;0.0,Ind
Lutétium-177;1.09e15;579542;0.208;0.113;0.321;10.36;6.17;0.23,Med
Lutétium-177m;4.55e14;13862400;0.208;0.249;0.378;11.2;8.4;1.8,Med
Rhenium-186;6.98e15;321408;0.137;0.000;0.000;9.42;0.0;0.0,Med
