Rhenium-188;2.77e17;61128;0.155;0.633;0.478;15.0;1.2;1.1,Med
Iridium-192;3.4e14;6393600;0.316;0.468;0.604;82.7;47.8;8.2,Ind
Or-198;9.16e15;232747;0.412;0.676;1.088;95.6;0.8;0.2,Med
Thallium-201;8.83e15;263232;0.167;0.135;0.080;10.0;2.6;94.5,Med
Plomb-212;1.61e17;38232;0.239;0.300;0.115;43.6;3.3;1.7,Med
Bismuth-213;1.32e18;2718;0.440;0.000;0.000;26.1;0.0;0.0,Med
Polonium-210;1.66e14;11964240;0.803;0.000;0.000;0.0012;0.0;0.0,Ind
Astate-211;8.5e17;25920;0.569;0.687;0.898;0.25;0.26;0.11,Med
Radon-222;5.73e15;330480;0.510;0.000;0.000;0.076;0.0;0.0,Ind
Radium-223;1.92e15;986256;0.270;0.154;0.401;13.7;6.5;3.6,Med
Radium-226;3.66e10;50492160000;0.186;0.260;0.609;3.59;0.7;4.6,Ind
Actinium-225;2.17e15;864000;0.218;0.158;0.148;11.4;2.6;2.3,Med
Thorium-227;9.81e14;1615421;0.236;0.050;0.256;11.2;9.0;4.5,Med
Thorium-232;4060;441806400000000000;0.059;0.063;0.238;0.22;23.4;43.6,Ind
Protactinium-231;1.75e9;1031385600000;0.302;0.283;0.027;1.7;1.0;10.8,Mil
Uranium-235;8.0e4;22204512000000000;0.186;0.143;0.205;57.2;11.0;5.0,Mil
Uranium-238;1.24e4;141026400000000000;0.048;0.111;0.053;0.06;0.18;0.12,Mil
Neptunium-237;2.6e7;67533120000;0.086;0.029;0.096;12.8;1.3;1.4,Mil
Plutonium-238;6.34e11;2767248000;0.044;0.099;0.152;0.01;0.007;0.001,Ind
Plutonium-239;2.3e9;760893120000;0.052;0.129;0.038;0.009;0.006;0.003,Mil
Américium-241;1.27e11;13627584000;0.060;0.026;0.033;35.9;2.4;0.11,Ind
Américium-242m;2.9e11;4479840000;0.049;0.042;0.101;0.5;16.0;2.5,Mil
Curium-242;1.23e17;14060000;0.044;0.102;0.157;0.026;0.002;0.002,Ind
Curium-244;2.99e12;570835200;0.043;0.000;0.000;0.023;0.0;0.0,Ind
Californium-252;2.0e10;83606400;0.100;0.150;0.250;2.3;1.8;1.1,Ind
